,divisions,title,abstract,subjects,publication
163,['FEB6'],CEK PLAGIARISME: Pemanfaatan Produk Fintech bagi UMKM di Bandar Lampung,,"['H1', 'HF', 'HJ']",
164,['FEB6'],Pemanfaatan Produk Fintech bagi UMKM di Bandar Lampung,"Mengembangkan bisnis UMKM terkadang membutuhkan biaya yang tidak sedikit, dan solusi permodalan lembaga keuangan bisa menjadi pilihan utama para pengusaha. Sayangnya, tidak banyak pelaku UMKM yang dapat memanfaatkan fasilitas financial technology dalam menjalankan usahanya. Hal ini disebabkan beberapa faktor, salah satunya pelaku UMKM yang non-bankable. Fintech juga menjadi salah satu solusi bagi UMKM berdomilisi jauh dari pusat kota untuk memdapatkan permodalan. Tim pengabdian kepada masyarakat FEB-Unila telah mengadakan pelatihan  pemanfaatan fintech bagi UMKM di Bandar Lampung. Adapun output dari kegiatan ini yaitu peningkatan pemahaman peserta terkait beberapa produk fintech yang legal dan terdaftar di OJK yang dapat menjadi solusi bagi permasalahan permodalan para pelaku UMKM di Bandar Lampung sehingga terhindar dari pinjaman bodong atau tidak legal. Hasil uji pengetahuan sebelum dan sesudah pelatihan menunjukkan adanya peningkatan pengetahuan peserta terkait pemanfaatan produk fintech untuk pengembangan usaha.","['H1', 'HF', 'HJ']",Jurnal Pengabdian Masyarakat I-Com: Indonesian Community Journal
165,['FMIPA9'],"A High-Order Fuzzy Time Series Forecasting Method Based on
an Intersection Operation for Forecasting USD Foreign Exchange
Rate",,['QA'],International Journal of Latest Engineering Research and Applications (IJLERA)
166,['FMIPA9'],"PEMBUATAN PUPUK CAIR ORGANIK BERSAMA KELOMPOK
WANITA TANI PADANG MANIS",,['QA'],Jurnal Buguh
167,['FKIP9'],E-Module Newton’s Law of Gravity based Guided Inquiry to Train Critital Thinking Skills,"The study aims to develop an electronic module based on guided inquiry on Newton's
law of gravity material that is valid, practical, and effective. The developed e-module
aims to practice critical thinking skills in physics learning. This development research
uses the ADDIE development method which consists of five steps, namely analysis,
design, development, implementation, and evaluation. Student response
questionnaires to guided inquiry e-modules and tests of critical thinking skills became
research instruments. Data analysis presented with quantitative descriptive. The
product validity was assessed by 3 experts with an average score of 3.63 with category
very valid. The practicality of the product consisted of readability which was tested
on 15 high school students in Grade X and the teacher's perception of the suitability
of guided inquiry-based learning activities in e-modules by obtaining an average
percentage of 90% in the category very practical. The effectiveness of the product is
assessed based on students' responses of critical thinking skills are improve after using
the e-module by obtaining a product effectiveness percentage of 87% with category
very effective. Student response questionnaire showed a positive response to the
developed e-module. Based on the analysis of the research results, it is stated that the
guided inquiry-based e-module on Newton's law of gravity is valid, practical, and
effective for practicing critical thinking skills.",['L1'],Physics Education Reseacrh Journal
168,['FKIP9'],Problem-Solving and Computational Thinking Practices: Lesson Learned from The Implementation of ExPRession Model,"Computational thinking ability is one of today's problemsolving
methods

that can be applied in physics learning.
However, it is not yet known by most teachers so it has not
been applied optimally in learning activities. This study
aims to identify students' problem-solving and
computational thinking abilities in solving well-structure
physics problems. The subject of this study was the eleven
grade majoring in natural science of SMAN 1 Bangunrejo.
This type of research is descriptive research. The data
used to analyze the students' problem-solving and
computational thinking abilities were obtained from the
essay test. Based on the results of descriptive analysis, it
can be concluded that there is a relationship between
students' problem-solving abilities and students'
computational thinking abilities. In making a useful
description, abstraction and decomposition abilities are
needed, while to determine the physics approach and
specific application of physics, generalization abiliy are
needed. In solving mathematical procedures, algorithm
ability are needed and to find out logical progressions,
debugging ability are needed.",['L1'],Jurnal Ilmu Pendidikan Fisika
169,['FKIP9'],Validation of ExPRession Learning Model-based E-Worksheet Assited with Heyzine to Construct Computanional Thiking Skill,"This study aims to determine the validity of the e-worksheet based on the Expression
Learning model to construct students' computational skills in direct current electric circuitmaterial. This research was development research using Design, Development, andResearch (DDR) which consisted of the analysis, design, development, and evaluationstages and used the mixed method to analyze the data. The instrument used to determine
the validity of the developed e-worksheet product was an e-worksheet validation sheet.The e-worksheet validation sheet consisted of product and constructs design validity sheetswhich were validated by five experts who judged that the developed e-worksheet is veryvalid, with an average score for the construct validation test of 91.5% and an average scorefor design test validation of 89%. The research findings showed that ExPRession learningmodel-based e-worksheet assisted with Heyzine to construct computational thinking skillin direct current electric circuits material is very valid. This study provides evidence thatapplying the ExPRession learning model to the e-worksheet can construct studentscomputational thinking skills as one of the skills needed in the 21st century by teachingstudents the use of Microsoft Excel.",['L1'],Jurnal Ilmiah Pendidikan Fisika
170,['FKIP9'],Pelatihan Pembuatan Alat Peraga Difraksi Cahaya berbasis Arduino dan Software Tracker untuk Meningkatkan Kemampuan dan Keterampilan Guru Fisika dalam Mengembangkan Alat Peraga Pembelajaran,"Materi difraksi cahaya dalam fisika menjadi materi yang dirasakan cukup sulit bagi peserta didik. Oleh karena itu,untuk mnegurangi kesulitan tersebut, guru diharapkan mampu membuat dan mengembangkan alat peraga pembelajaran yang mampu meningkatkan ketertarikan dan pemahaman peserta didik. Kegiatan ini bertujuan untuk meningkatkan kemampuan dan keterampilan guru fisika dalam membuat dan mengembangakan alat peraga difraksi cahaya berbasis arduino dan software tracker. Adapun metode yang digunakan yaitu aktif partisipatif. Adapun kesimpulan dari pelaksanaan pengabdian ini adalah terjadi peningkatan kemampuan peserta dalam mengembangkan peraga difraksi cahaya dengan memanfaatkan limbah elektronik berbasis arduino dan software tracker untuk melatihkan Keterampilan Proses Sains di era endemic covid-19 bagi guru Fisika SMA se-Provinsi Lampung.",['L1'],NUWO ABDIMAS
171,,"PENDIDIKAN MITIGASI BENCANA GEMPA BUMI DI YAYASAN DARUL 
HIKMAH LAMPUNG","Potensi bencana gempabumi di Provinsi Lampung termasuk 10 besar di Indonesia, sehingga perlu dilakukan 
upaya mitigasi dari berbagai aspek.  Salah satu aspek yang sangat penting adalah memberikan pendidikan 
mitigasi terhadap siswa-siswa di sekolah. Pendidikan mitigasi sangat penting ditanamkan kepada masyarakat 
sedini mungkin agar memberikan kemudahan dalam proses evakuasi ketika terjadi bencana gempabumi. 
Yayasan Darul Hikmah Lampung terletak di Kota Bandar Lampung Kecamatan Rajabasa. Yayasan ini memiliki 
beberapa cabang dengan jumlah siswa dan siswi yang sangat banyak dari jenjang sekolah dasar hingga 
sekolah menengah atas. Kegiatan pengabdian ini bertujuan untuk (1) Mengenalkan wawasn tentang bencana 
alam sedini mungkin (2) membekali siswa mengenai pengetahuaan tentang potensi bencana gempabumi dan 
mitigasi gempabumi, Kegiatan pengabdian ini telah dilaksanakan sesuai dengan perencanaan dan telah 
berhasil dengan jumlah peserta yang melebihi target awal. Ketercapaian target materi yang telah 
direalisasikan adalah 85%, dan kemampuan peserta dalam penguasaan materi mencapai 80%, serta kepuasan 
peserta pelatihan mencapai 75 %.",['Q1'],Jurnal Sakai Sambayan
172,['FISIP2'],Green Economy Initiatives in Enhancing Social Solidarity in the Tourism Sector in Coastal Areas,"The tourism sector is an essentialpart of the coastal area. Therefore, there is a need for sustainable maintenance so that the tourism sector is maintained. The development of a sustainable tourism sector can be implemented through the green economy. In practice, the implementation of this green economy can also be used to increase solidarity among communities. This research then aims to see how green economy initiatives can increase social  solidarity  in  the  tourism  sector  in  coastal  areas.  This  research  will  be  carried  out using a descriptive qualitative approach. The data used in this study come from differentresearch  results  and  previous  studies,which  still  have  relevance  to  the  contents  of  this research. The study resultsthen found that the tourism sector in coastal areas has various challenges and obstacles. However, this problem can be solved by implementinga green economy. Through  environmentally  friendly  practices,  this  can  provide  economic  and social benefits that are more equitable to local communities. Then community involvement can  be  increased  in managingthe  tourism  sector,  thereby  strengthening  environmental awareness and local culture. This,in turn,can increase social solidarity in society.
Keywords:Green Economy, Social Solidarity, Tourism Sector, Coastal Areas",['H1'],"nternationalJournal of Science and Society,"
173,['FP5'],Oil palm biomass in Indonesia: Thermochemical upgrading and its utilization,"Indonesia is the world's largest palm oil producing country. The oil palm industry (plantation and milling) generates large amounts of solid waste in the form of empty fruit bunches (EFB), palm kernel shells (PKS), mesocarp fiber (MF), oil palm fronds (OPF), and oil palm trunks (OPT). This leftover waste, collectively termed oil palm biomass (OPB), causes severe environmental pollution, thereby threatening the sustainability of the oil palm industry. Upgrading OPB by thermochemical processes (torrefaction and pyrolysis) has attracted significant interest as a means of recycling the residues and mitigating the environmental damage. This study reviews the previous research on the environment-friendly utilization of OPB in Indonesia. First, general information is presented on OPB in Indonesia (availability, properties, and governmental policy). Second, the torrefaction of OPB for the production of upgraded solid fuel is summarized. Third, the pyrolysis of OPB to produce biochar is reviewed for use as a soil amendment and in carbon storage. The market perspective and life cycle assessment (LCA) of the thermally treated OPB are discussed, targeting the generation of electricity (OPB torrefaction) and agricultural soil enhancement (OPB biochar). The recycling of OPB is expected to contribute to the sustainability and economic success of the oil palm industry and also the net-zero 2060 in Indonesia.",['TD'],Renewable and Sustainable Energy Reviews
174,['FP19'],Characterization of Formacell Lignin Derived from Black Liquor as a Potential Green Additive for Advanced Biocomposites,"Black liquor is obtained as a by-product of the pulping process, which is used to convert biomass into pulp by removing lignin, hemicelluloses and other extractives from wood to free cellulose fibers. Lignin represents a major constituent in black liquor, with quantities varying from 20% to 30%, of which a very low share is used for manufacturing value-added products, while the rest is mainly burned for energy purposes, thus underestimating its great potential as a raw material. Therefore, it is essential to establish new isolation and extraction methods to increase lignin valorization in the development of bio-based chemicals. The aim of this research work was to determine the effect of KOH or ethanol concentration as an isolation agent on lignin yields and the chemical characteristics of lignin isolated from formacell black liquor of oil palm empty fruit bunch (OPEFB). Isolation of lignin was carried out using KOH with various concentrations ranging from 5% to 15% (w/v). Ethanol was also used to precipitate lignin from black liquor at concentrations varying from 5% to 30% (v/v). The results obtained showed that the addition of KOH solution at 12.5% and 15% concentrations resulted in better lignin yield and chemical properties of lignin, i.e., pH values of 3.86 and 4.27, lignin yield of 12.78% and 14.95%, methoxyl content of 11.33% and 10.13%, and lignin equivalent weights of 476.25 and 427.03, respectively. Due to its phenolic structure and rich functional groups that are favorable for modifications, lignin has the potential to be used as a green additive in the development of advanced biocomposite products in various applications to replace current fossil fuel-based material, ranging from fillers, fire retardants, formaldehyde scavengers, carbon fibers, aerogels, and wood adhesives.",['S1'],
175,['FP19'],Characterization of Formacell Lignin Derived from Black Liquor as a Potential Green Additive for Advanced Biocomposites,"Black liquor is obtained as a by-product of the pulping process, which is used to convert biomass into pulp by removing lignin, hemicelluloses and other extractives from wood to free cellulose fibers. Lignin represents a major constituent in black liquor, with quantities varying from 20% to 30%, of which a very low share is used for manufacturing value-added products, while the rest is mainly burned for energy purposes, thus underestimating its great potential as a raw material. Therefore, it is essential to establish new isolation and extraction methods to increase lignin valorization in the development of bio-based chemicals. The aim of this research work was to determine the effect of KOH or ethanol concentration as an isolation agent on lignin yields and the chemical characteristics of lignin isolated from formacell black liquor of oil palm empty fruit bunch (OPEFB). Isolation of lignin was carried out using KOH with various concentrations ranging from 5% to 15% (w/v). Ethanol was also used to precipitate lignin from black liquor at concentrations varying from 5% to 30% (v/v). The results obtained showed that the addition of KOH solution at 12.5% and 15% concentrations resulted in better lignin yield and chemical properties of lignin, i.e., pH values of 3.86 and 4.27, lignin yield of 12.78% and 14.95%, methoxyl content of 11.33% and 10.13%, and lignin equivalent weights of 476.25 and 427.03, respectively. Due to its phenolic structure and rich functional groups that are favorable for modifications, lignin has the potential to be used as a green additive in the development of advanced biocomposite products in various applications to replace current fossil fuel-based material, ranging from fillers, fire retardants, formaldehyde scavengers, carbon fibers, aerogels, and wood adhesives.",['S1'],
176,['FP19'],Characterization of Formacell Lignin Derived from Black Liquor as a Potential Green Additive for Advanced Biocomposites,"Black liquor is obtained as a by-product of the pulping process, which is used to convert biomass into pulp by
removing lignin, hemicelluloses and other extractives from wood to free cellulose fibers. Lignin represents a major
constituent in black liquor, with quantities varying from 20% to 30%, of which a very low share is used for man-
ufacturing value-added products, while the rest is mainly burned for energy purposes, thus underestimating its
great potential as a raw material. Therefore, it is essential to establish new isolation and extraction methods to
increase lignin valorization in the development of bio-based chemicals. The aim of this research work was to
determine the effect of KOH or ethanol concentration as an isolation agent on lignin yields and the chemical
characteristics of lignin isolated from formacell black liquor of oil palm empty fruit bunch (OPEFB). Isolation
of lignin was carried out using KOH with various concentrations ranging from 5% to 15% (w/v). Ethanol was
also used to precipitate lignin from black liquor at concentrations varying from 5% to 30% (v/v). The results
obtained showed that the addition of KOH solution at 12.5% and 15% concentrations resulted in better lignin
yield and chemical properties of lignin, i.e., pH values of 3.86 and 4.27, lignin yield of 12.78% and 14.95%, meth-
oxyl content of 11.33% and 10.13%, and lignin equivalent weights of 476.25 and 427.03, respectively. Due to its
phenolic structure and rich functional groups that are favorable for modifications, lignin has the potential to be
used as a green additive in the development of advanced biocomposite products in various applications to replace
current fossil fuel-based material, ranging from fillers, fire retardants, formaldehyde scavengers, carbon fibers,
aerogels, and wood adhesives.",['S1'],Journal of renewable materials
177,['FP19'],korespondensi DRVN INDUSTRIJA: The Utilization of Lignin Monomer Isolation Results from Black Liquor of Empty Palm Oil Bunches as A Prebiotic,"Waste is generated in the form of black liquor during pulp processing. Furthermore, lignin, the main ingredient of black liquor, contains a phenylpropanoid compound with prebiotic and Antimicrobial Activity. Also, it is a component of lignocelluloseis which is known to have prebiotic and antimicrobial activity effects due to its indigestible nature and it comprises of phenylpropanoid components. Therefore, this study aims to examine and identify the lignin purification and activity test results as a prebiotic. The technique used to identify lingin fraction is called Thin Layer Chromatography (TLC) and Gas Chromatography-Mass Spectrometry (GC-MS) plates. Prebiotic activity tests were performed using the calculation of total bacteria on the growth of Lactobacillus casei. The results showed that the purification process using CHCl3, 3% MeOH:CHCl3, 20% MeOH:CHCl3, and MeOH yielded 10.68%, 6.34%, 11.38% 44.85%, respectively. The 3% MeOH:CHCl3 fraction contained benzaldehyde, 4- hydroxy-3,5-dimethoxy, 1-methtylbutyl hexadecanoate, oleic acid, and di-2- Ethylhexyl phthalate. The 3% MeOH:CHCl3 fractionate with a concentration of 15% also showed a prebiotic activity for Lactobacillus casei at 6.1 x 102 colonies/mL",['S1'],
178,['FP19'],"Utilization of Lignin Monomer Isolation
from Black Liquor of Empty Palm Oil
Bunches as a Prebiotic","Waste is generated in the form of black liquor during pulp processing. Furthermore, lignin, the
main ingredient of black liquor, contains a phenylpropanoid compound with prebiotic and antimicrobial activity.
Also, it is a component of lignocellulose that has prebiotic and antimicrobial activity effects due to its indigestible
nature and it comprises phenylpropanoid components. Therefore, this study examines and identifies the lignin purification and test results of its prebiotic activity. The technique used to identify lignin fraction is called Thin Layer
Chromatography (TLC) and Gas Chromatography-Mass Spectrometry (GC-MS) plates. Prebiotic activity tests
were performed using the calculation of total bacteria on the growth of Lactobacillus casei. The results showed
that the purification process using CHCl3, 3 % MeOH:CHCl3, 20 % MeOH:CHCl3, and MeOH yielded 10.68 %,
6.34 %, 11.38 % 44.85 %, respectively. The 3 % MeOH:CHCl3 fraction contained benzaldehyde, 4- hydroxy-3,5-
dimethoxy, 1-methylbutyl hexadecanoate, oleic acid, and di-2-ethylhexyl phthalate. The 3 % MeOH:CHCl3 fractionate with a concentration of 15 % also showed a prebiotic activity for L. casei at 6.1 x 102 colonies/mL.",['S1'],DRVNA industrija
179,['FP15'],Similarity DRVN Industrija: The Utilization of Lignin Monomer Isolation Results from Black Liquor of Empty Palm Oil Bunches as A Prebiotic,"Waste is generated in the form of black liquor during pulp processing. Furthermore, lignin, the main ingredient of black liquor, contains a phenylpropanoid compound with prebiotic and Antimicrobial Activity. Also, it is a component of lignocelluloseis which is known to have prebiotic and antimicrobial activity effects due to its indigestible nature and it comprises of phenylpropanoid components. Therefore, this study aims to examine and identify the lignin purification and activity test results as a prebiotic. The technique used to identify lingin fraction is called Thin Layer Chromatography (TLC) and Gas Chromatography-Mass Spectrometry (GC-MS) plates. Prebiotic activity tests were performed using the calculation of total bacteria on the growth of Lactobacillus casei. The results showed that the purification process using CHCl3, 3% MeOH:CHCl3, 20% MeOH:CHCl3, and MeOH yielded 10.68%, 6.34%, 11.38% 44.85%, respectively. The 3% MeOH:CHCl3 fraction contained benzaldehyde, 4- hydroxy-3,5-dimethoxy, 1-methtylbutyl hexadecanoate, oleic acid, and di-2- Ethylhexyl phthalate. The 3% MeOH:CHCl3 fractionate with a concentration of 15% also showed a prebiotic activity for L. casei at 6.1 x 102 colonies/mL",['S1'],
180,,Program For Developing Rural Area Elementary School Teachers Professionalism Based on TPACK: Review Empirical And Reflective,"This study aims to develop the professionalism of rural area elementary school teachers based on TPACK. The subject of this research is the Teacher Professional Education (PPG) Participants at the University of Lampung in 2020 in the field of study for elementary school teachers from rural areas in Lampung Province. The research sample amounted to 49, which were determined purposively. This study uses qualitative research with a Narrative Study Approach. The focus of this research is to produce a hypothetical model that can overcome the obstacles of PPG participants from rural areas so that it can be a solution to increase professionalism while supporting UKMPPG Graduation. Data collection techniques are used in the form of questionnaires, interviews and documents. The results showed that PPG participants were proven to have problems in the form of weak internet signals and a lack of mastery of technology, which impacted their unpreparedness to participate in PPG in terms of technology and content. Based on these conditions, the hypothetical model includes three scaffolding levels. Thus, theoretically, scaffolding can develop teacher professionalism.",['L1'],Journal of Adaptive Education
181,['FISIP2'],Developing a Crowdsourcing-Based Disaster Relief Model Based on Public Participation,"These studies aim to accomplish the following: (1). Examining and developing a crowdsourcing-based model for community disaster preparedness, (2). Outline the model for disaster management in the region and the structure and procedure that will be used to put it into effect in local communities. The R&D method behind this study aimed to undertake a thorough analysis before constructing a brand-new framework for the concept. The province of Lampung was chosen because it has both an established regulatory framework for disaster management and innovative technical programs. New processes and workflows for volunteer coordination were defined and tested in collaboration with the Indonesia Community disaster and other volunteer group as the end user, and a platform was developed to support them. Increased situational awareness in real-time via unprompted input from many users is a key benefit of such a system. Not only that, but unannounced participants can join the conversation simply by signing up for a website or portal. The crowdtasking system will not fully trust spontaneous volunteers until the community disaster staff has verified their profiles. As a result, they are given less important and less taxing activities than pre-registered volunteers, and their observations are given less weight.","['H1', 'JS']",International Journal of Safety and Security Engineering
182,['FKIP16'],"Application of Digital Literature Based on Video, Website and Peer Tutoring on Student’s Academic Literature Skills","The rapid development of the world of information communication and technology (ICT) has made the use of the internet a basic need. This can be seen from the activities of the world of education, especially in higher education which cannot be separated from digital devices such as the use of gadgets and laptops. The use of such technology must of course be equipped with good and correct literacy skills for optimal implementation. To perform this optimization, there are several ways that students can do, such as viewing videos in the digital space, exchanging information on personal websites, and peer tutoring, often known as peer tutoring. The purpose of this study was to determine the literacy skills of video-based, website and peer tutoring in improving students’ academic literacy. The research method used is quantitative research with experimental research design. The sample used in this study were FKIP students at the University of Lampung. In this study, students are expected to be able to improve their literacy skills in the face of today’s rapid technological advances.",['L1'],
183,['FP1'],"ANALISIS HARGA POKOK PRODUKSI DAN KEUNTUNGAN USAHA BIBIT
TANAMAN HORTIKULTURA PADA PERUSAHAAN XXX DI LAMPUNG TENGAH","Penelitian ini bertujuan untuk menganalisis harga pokok produksi dan keuntungan usaha bibit tanaman hortikultura pada perusahaan XXX di Lampung Tengah. Metode yang digunakan pada penelitian ini adalah metode studi kasus. Pengumpulan data dilakukan pada bulan Februari 2022-Maret 2022. Data
pada penelitian ini terdiri dari data primer dan data sekunder. Data primer diperoleh melalui wawancara langsung dengan pemilik perusahaan menggunakan kuesioner. Data sekunder diperoleh dari Badan Pusat Statistika, lembaga terkait, publikasi, laporan-laporan dan pustaka lainnya. Analisis data yang digunakan dalam penelitian ini adalah: (a) metode variable costing dan metode full costing untuk
menganalisis harga pokok produksi serta (b) metode Revenue Cost Ratio (R/C) untuk menganalisis keuntungan perusahaan. Hasil penelitian menunjukkan bahwa harga pokok produksi untuk produk bibit cabai, bibit terong, bibit tomat, bibit seledri, bibit loncang, dan bibit kembang kol dengan menggunakan metode variable costing maupun metode full costing lebih rendah daripada harga jual produk, sehingga
perusahaan sudah memperoleh keuntungan dengan harga jual yang berlaku sekarang. Keuntungan perusahaan dalam usaha pembibitan tanaman hortikultura adalah Rp 41.294.239,98 per dua minggu dengan nilai R/C lebih dari satu, artinya usaha pembibitan tanaman hortikultura perusahaan XXX sudah
menguntungkan dan layak untuk dijalankan.
Kata Kunci : harga pokok produksi, full costing, variable costing, keuntungan",['AC'],AGROINFO GALUH
184,['FP26'],Perubahan Produksi dan Perdagangan Negara-negara Produsen Lada Terbesar di Dunia dan Implikasinya bagi Indonesia,"The production and trade of agricultural products in global markets will undergo changes due to shifts in demand and production patterns. Although demand for pepper is likely to remain strong, pepper production is prone to fluctuations due to various factors, particularly natural ones. This study aims to predict future changes in the production and trade of the world's largest pepper-producing countries and identify macro-level improvements needed to enhance the pepper production and trade system in Indonesia. Using time-series analysis (i.e., double exponential smoothing) with FAOSTAT data from 1961-2020, this study predicts that the competitive landscape among pepper-producing countries is likely to change over the next 15 years. Some producing countries may overtake others in terms of pepper production and trade. Consequently, Indonesia needs to respond to these changes by implementing various sectoral-level improvements, such as investing in sustainable development, improving infrastructure, and addressing political factors, in addition to improving farmer-level practices.",['S1'],Agro Industri Perkebunan
185,['FP26'],RESPONS ORGANISASI PETANI TERHADAP TRANSFORMASI SISTEM  PEMASARAN PERTANIAN,"Sistem pemasaran produk-produk pertanian telah mengalami perubahan besar atau mengalami transformasi. Transformasi dalam bentuk liberasi pasar menyebabkan hambatan perdagangan (tarif dan non-tarif) menjadi berkurang. Hasilnya, impor pangan meningkat dan ketersediaan bahan pangan bertambah, tetapi persaingan yang dihadapi oleh produsen domestik juga meningkat. Petani kecil secara individual, karena masalah inefisiensi produksi dan pemasaran, tidak mampu merespons dengan baik transformasi pasar tersebut, namun petani punya peluang bila mereka bertindak secara kolektif, misalnya melalui organisasi petani. Penelitian ini bersifat kajian literatur dan memiliki dua tujuan: (1) mengidentifikasi faktor-faktor yang mendorong terjadinya transformasi pasar produk pertanian, dan (2) menganalisis respons yang perlu dilakukan oleh organisasi petani terkait perubahan besar di pasar tersebut. Berdasarkan tinjauan literatur, faktor-faktor pendorong transformasi pasar antara lain globalisasi dan dominasi pasar pertanian oleh aktor swasta global; urbanisasi dan meningkatnya pengaruh jaringan supermarket; dan perkembangan di tingkat regional dan global. Paling tidak ada empat strategi inovatif sebagai respons organisasi petani terhadap transformasi pasar tersebut. Pertama, organisasi petani perlu terhubung dengan pasar khusus (niche market) untuk komoditas ekspor. Kedua, perlu ada pengaturan kemitraan jangka panjang yang melibatkan pedagang internasional dan organisasi petani untuk memasarkan komoditas ekspor. Ketiga, perlu ada lembaga pasar yang inovatif (seperti resi gudang dan sistem lelang komoditas) untuk mengakses pasar utama bagi ekspor pertanian. Keempat, kerja sama dengan ke supermarket lokal dan regional. Kelima, diversifikasi ke tanaman atau produk bernilai lebih tinggi. Strategi-strategi tersebut mungkin dapat berjalan dengan baik jika ada komitmen dari seluruh pemangku kepentingan pertanian di Indonesia dan  lingkungan kebijakan dan peraturan yang mendukung.",['S1'],Jurnal Ekonomi Pertanian dan Agribisnis (JEPA)
186,['FP26'],"The role of female farmers in improving family welfare in South Bali Sadhar Village Banjit district Way Kanan Regency, Lampung","This study aims at constructing the role of female farmers in refining family welfare which was carried out in March-April 2022 in South Bali Sadhar Village, Banjit District, Way Kanan Regency. Lampung. Indonesia. The informants were female and male farmers who worked in the lowland rice sector with a total of 12 people, consisted of 6 women and 6 men. The approach used in this study is a qualitative approach with case studies method. Data analysis used in this study is reduce data, data collection, data presentation and conclusions drawing. The results of this study indicate that the role of female farmers in the village of South Bali Sadharin improving family welfare is divided into three parts are reproductive role, productive role and social role. The reproductive role as housewives, the productive role as lowland rice farmers and as farm laborers. These activities include preparation of production facilities, seeding, planting, maintenance, harvesting and post-harvest. The social role is as a member of the community in both general and religious activities. The involvement of women in these three types of roles can help improve family welfare, for example women helping their husbands earn a living as lowland rice farmers so that family needs can be gradually met.","['H1', 'S1']",Gender Equality: International Journal of Child and Gender Studies
187,['FP5'],"Role of Tourism Awareness Group in Development of Way Kalam Waterfall at Way Pisang Forest Management Unit, Lampung Province, Indonesia","The Tourism Awareness Group is essential in waterfall management because they can develop sustainable tourism. This study aims to determine the role of the Tourism Awareness Group in managing the Way Kalam Waterfall at the Way Pisang Forest Management Unit, Lampung Province, Indonesia. Data were first collected through observation and interviews and then analyzed descriptively on planning, organizing, implementation, and monitoring. The results showed that the Tourism Awareness Group in Way Kalam Village had made short-, mid-, and long-term planning. In organizing, the group has made sure members have performed their respective duties. In actuating, activities are carried out correctly according to the plans. And in controlling, the work carried out by the Tourism Awareness Group is directly supervised by the village government. There needs to be motivation from relevant stakeholders so that Tourism Awareness Group can be more active.","['S1', 'SD']",Journal of Green Economy and Low-Carbon Development
188,['FEB6'],"CEK PLAGIARISME: THE EFFECT OF OWNERSHIP STRUCTURE ON COMPANY VALUE IN NON-FINANCIAL ISSUERS, 2016 – 2020",,"['HG', 'HJ']",
189,['FEB6'],"The effect of ownership structure on company value in non-financial issuers, 2016-2020","This study aims to determine the effect of institutional, foreign, and individual
ownership and corporate value on non-financial issuers in 2016-2020. The method
used was quantitative research using the correlation method. The data analysis
technique employed was multiple regression analysis and testing of classical
assumptions and hypotheses. The result showed that there was a significant
influence between ownership structure and firm value. Based on the results of
previous calculations, it can be seen that the value of the F-statistic was 35.186 with
the probability value of the F-statistic being 0.000. Since the prob value of the F-
statistic was 0.000<0.05 then H0 was rejected, meaning that together the ownership
structure has a significant effect on firm value. The study concluded that
Institutional Ownership, Foreign Ownership and Individual Ownership have a
significant effect on Firm Value. An increase in institutional ownership will reduce
the value of the company and vice versa. Foreign ownership has a positive effect
on firm value on the IDX which has been proven empirically and supports the
statements of previous researchers. Individual ownership has a negative effect on
company value on the IDX, as has been shown in previous studies, where the higher
the individual ownership, the lower the company value.","['HG', 'HJ']",Economía & Negocios
190,['FP5'],"THE RELATIONSHIP BETWEEN THE PERCENTAGE OF SOLAR RADIATION 
UNDER THE SHADE OF STAND AND THE GROWTH OF CARDAMOM","Cardamom can live under the shade of a stand but require adequate shade for optimum growth. This research aims to determine the relationship between the percentage of solar 
radiation under the shade of a stand on the growth of cardamom, to determine the stands that have the best effect on the growth of cardamom, and to estimate the percentage of solar radiation that affects the optimum growth of cardamom. The research was conducted in 5 farmer-cultivated areas planted with cardamom in Tahura Wan Abdul Rachman. In each 
farmer's arable area, three plots of 5 m x 5 m were made, which were placed randomly to observe the growth of cardamom. The data collected includes the growth of cardamom, tree species, solar radiation, air temperature, and humidity. The data were analyzed by quadratic regression at the 5% significance level. The results showed that the percentage of solar radiation intensity under the shade of forest garden stands significantly affected the growth of cardamom. The stands are composed by durian, clove, nutmeg, and petai trees with a distance of 3.55 m between trees, the percentage of solar radiation intensity under the stand is 54.0%, the air temperature is 28.5 oC, and the humidity is 86.3% the best effect on the number of pods and the good effect on the number of flower bunches compared to other stands. The highest number of cardamom pods was 10.7 per bunch, and the highest number of flower bunches was 23.6 flower bunches per clump. All cardamom growth variables were significantly related quadratic to the percentage of solar radiation in the shaded stands. It was predicted that the shade of the stands, which can be the optimum place for cardamom to grow, is the shade with a percentage of solar radiation in the range of 54.0% to 67.0%.",['SD'],Jurnal Sains Natural
